# GeckoLib 4 to GeckoLib 5 class moves.
#
# Format: OLD_INTERNAL_NAME<TAB>NEW_INTERNAL_NAME
#
# GeckoLib 5 moved the whole library from software.bernie.geckolib to com.geckolib and
# reorganised it at the same time, so a mod built against 4.x dies on its first touch with
# NoClassDefFoundError: software/bernie/geckolib/animatable/GeoItem (#223).
#
# Derived from the geckolib-forge-1.20.1-4.8.4 and geckolib-neoforge-26.1.2-5.5.2 jars. A pair
# is taken when the plain package swap lands on a class 5.5.2 ships, or when exactly one class
# in 5.5.2 carries that simple name. Nothing ambiguous was found, and 91 further 4.x classes
# have no counterpart at all: those are internals such as the texture cache, and a mod that
# reaches them needs a real port rather than a rename.
#
# GeckoLib 4.x tops out at Minecraft 1.21.4 and 5.x starts at 1.21.5, so the shim that reads
# this table is gated on the host being 1.21.5 or newer. Applying it on an older host would
# rewrite a mod onto packages that host's GeckoLib does not have.
# 111 class moves.
software/bernie/geckolib/GeckoLib	com/geckolib/GeckoLib
software/bernie/geckolib/network/packet/StatelessBlockEntityPlayAnimPacket	com/geckolib/network/packet/blockentity/StatelessBlockEntityPlayAnimPacket
software/bernie/geckolib/network/packet/StatelessBlockEntityStopAnimPacket	com/geckolib/network/packet/blockentity/StatelessBlockEntityStopAnimPacket
software/bernie/geckolib/network/packet/StatelessEntityPlayAnimPacket	com/geckolib/network/packet/entity/StatelessEntityPlayAnimPacket
software/bernie/geckolib/network/packet/StatelessEntityStopAnimPacket	com/geckolib/network/packet/entity/StatelessEntityStopAnimPacket
software/bernie/geckolib/network/packet/StatelessSingletonPlayAnimPacket	com/geckolib/network/packet/singleton/StatelessSingletonPlayAnimPacket
software/bernie/geckolib/network/packet/StatelessSingletonStopAnimPacket	com/geckolib/network/packet/singleton/StatelessSingletonStopAnimPacket
software/bernie/geckolib/network/packet/StopTriggeredBlockEntityAnimPacket	com/geckolib/network/packet/blockentity/StopTriggeredBlockEntityAnimPacket
software/bernie/geckolib/network/packet/StopTriggeredEntityAnimPacket	com/geckolib/network/packet/entity/StopTriggeredEntityAnimPacket
software/bernie/geckolib/network/packet/StopTriggeredSingletonAnimPacket	com/geckolib/network/packet/singleton/StopTriggeredSingletonAnimPacket
software/bernie/geckolib/renderer/DyeableGeoArmorRenderer	com/geckolib/renderer/specialty/DyeableGeoArmorRenderer
software/bernie/geckolib/renderer/GeoArmorRenderer	com/geckolib/renderer/GeoArmorRenderer
software/bernie/geckolib/renderer/GeoArmorRenderer$1	com/geckolib/renderer/GeoArmorRenderer$1
software/bernie/geckolib/renderer/GeoArmorRenderer$2	com/geckolib/renderer/GeoArmorRenderer$2
software/bernie/geckolib/renderer/GeoBlockRenderer	com/geckolib/renderer/GeoBlockRenderer
software/bernie/geckolib/renderer/GeoBlockRenderer$1	com/geckolib/renderer/GeoBlockRenderer$1
software/bernie/geckolib/renderer/GeoEntityRenderer	com/geckolib/renderer/GeoEntityRenderer
software/bernie/geckolib/renderer/GeoEntityRenderer$1	com/geckolib/renderer/GeoEntityRenderer$1
software/bernie/geckolib/renderer/GeoItemRenderer	com/geckolib/renderer/GeoItemRenderer
software/bernie/geckolib/renderer/GeoObjectRenderer	com/geckolib/renderer/GeoObjectRenderer
software/bernie/geckolib/renderer/GeoRenderer	com/geckolib/renderer/base/GeoRenderer
software/bernie/geckolib/renderer/GeoReplacedEntityRenderer	com/geckolib/renderer/GeoReplacedEntityRenderer
software/bernie/geckolib/renderer/GeoReplacedEntityRenderer$1	com/geckolib/renderer/GeoReplacedEntityRenderer$1
software/bernie/geckolib/renderer/layer/AutoGlowingGeoLayer	com/geckolib/renderer/layer/builtin/AutoGlowingGeoLayer
software/bernie/geckolib/renderer/layer/BlockAndItemGeoLayer	com/geckolib/renderer/layer/builtin/BlockAndItemGeoLayer
software/bernie/geckolib/renderer/layer/GeoRenderLayer	com/geckolib/renderer/layer/GeoRenderLayer
software/bernie/geckolib/renderer/layer/GeoRenderLayersContainer	com/geckolib/renderer/layer/GeoRenderLayersContainer
software/bernie/geckolib/renderer/layer/ItemArmorGeoLayer	com/geckolib/renderer/layer/builtin/ItemArmorGeoLayer
software/bernie/geckolib/util/GeckoLibUtil	com/geckolib/util/GeckoLibUtil
software/bernie/geckolib/util/JsonUtil	com/geckolib/util/JsonUtil
